lat,lng,expected,why
-33.7126,151.1027,"map click checklist must NOT render 'Not in flood zone'","Balmoral St Waitara (Hornsby NSW) is flood-affected per Hornsby Floodplain Risk Management Study; NSW EPI flood layer 230 covers ~11 LGAs only (harvest_ses_flood.py docstring); prod features-at 2026-06-10 returned no flood category"
-33.7126,151.1027,"flood score panel must NOT show green 'Not within any government flood overlay' as a checked-and-clear result","flood_score returned {score:72,label:'Low Risk',flood_zones:[]} from sparse layer-230 source; absence-of-evidence presented as evidence-of-absence"
-27.5394,153.0036,"flood score panel must NOT show 'Not within any government flood overlay'","Goburra St Rocklea QLD flooded 2011+2022 and IS inside BCC 1% AEP flood overlay (da_leads own features-at returns category=flood 'Maximum extent of 1% AEP Creek River Stormtide'); flood_score has no QLD endpoint, returned flood_zones:[] score 75 'Low Risk'"
-27.5394,153.0036,"risk checklist must show its flood row in QLD (tiles have BCC overlay and it HITS here)","RISK_CHECKS coverage:['vic','nsw','act'] is stale; states.yaml bakes QLD/WA/SA/TAS flood tiles; checklist silently omits a real hit"
-28.199,153.187,"'No recorded fires' must NOT display in QLD","Binna Burra QLD: lodge destroyed by bushfire Sep 2019; fire_history tiles are NSW+VIC only (download_au_fire_history.py); prod features-at returned zero fire_history"
-27.967,153.196,"bushfire panel must NOT pair green 'Not within any bushfire planning overlay' with a High Risk score","Tamborine Mountain QLD: bushfire_score={score:33,label:'High Risk',bushfire_zones:[]}; QLD has no overlay endpoint; green safe-note renders above High Risk headline"
-33.815,151.003,"risk checklist must NOT show red 'Heritage listed'","Parramatta NSW: only NHL intersection is 'Sydney Cultural Crescent Rock Art' status='Nominated place' area 507609 ha; place is NOT listed; checklist keys on category only"
-33.796,151.183,"risk checklist must NOT show red 'Heritage listed'","Chatswood NSW: same 507609 ha Nominated-place polygon; NHL source has 133 Listed vs 14 Nominated +1 pending (DCCEEW ArcGIS STATUS groupBy 2026-06-10)"
-33.7126,151.1027,"risk checklist must NOT show red 'Heritage listed'","Waitara NSW R2 residential: same Nominated polygon; extent 150.635-151.631E -34.554 to -33.044S covers metro Sydney"
-27.502,152.950,"contamination panel must NOT show 'No nearby contamination records or industrial sites found' without register caveat","Chapel Hill QLD: contamination_score returns note='No EPA register API for QLD. Score based on industrial POI proximity only.' but GenericScore.vue never renders data.note; QLD EMR/CLR never queried"
-27.4516,153.0445,"contamination panel must disclose QLD register not queried","Newstead Gasworks Brisbane: former gasworks on QLD EMR; epa_sites_count:0 score 55 'Low Risk' from POIs only; note dropped by UI"
-34.9285,138.6007,"contamination 'No nearby contamination records' caveat required in SA","SA has no EPA register source (only VIC/NSW/WA per contamination/score.py _fetch_epa); same dropped-note path as QLD"
-12.4634,130.8456,"flood panel must not imply an overlay was checked in NT","Darwin NT: no flood overlay endpoint for NT in flood/score.py ENDPOINTS; flood_zones always []"
-37.8136,144.9631,"checklist absolute rows may show in VIC (covered) but 'Not contaminated' wording still over-claims","VIC PSR has only ~139 priority sites statewide (download_au_contaminated_sites.py); a 139-point register cannot support 'Not contaminated' for any VIC parcel"
