state,logger,address,meas_day,meas_night,metric
VIC,N01,"34 Edmund Rice Parade, Watsonia",60,54,LA10
VIC,N02,"12 Eastgate Drive, Greensborough",57,51,LA10
VIC,N03,"43 Gillingham Street, Watsonia North",56,48,LA10
VIC,N04,"4 Yonde Court, Greensborough",53,46,LA10
VIC,N07,"4 Vincent Ct, Greensborough",58,52,LA10
VIC,N09,"22 Sellars Street, Watsonia North",62,54,LA10
VIC,N10,"21 Boyd Street, Greensborough",55,49,LA10
VIC,N11,"1 Saxon Court, Greensborough",61,54,LA10
VIC,N12,"1/470 Greensborough Road, Greensborough",63,56,LA10
VIC,N13,"34 Ibbottson Street, Watsonia",56,48,LA10
VIC,N14,"462 Greensborough Road, Watsonia",61,54,LA10
VIC,N15,"319 Greensborough Road, Watsonia",60,54,LA10
VIC,N16,"384 Service Road, Watsonia",58,50,LA10
VIC,N17,"17 Watson Street, Macleod",52,45,LA10
VIC,N18,"179 Greensborough Road, Macleod",72,63,LA10
VIC,N19,"115 Greensborough Road, Macleod",72,64,LA10
VIC,N20,"10 Borlase Street, Yallambie",61,55,LA10
VIC,N20A,"3 Kay Court, Yallambie",61,54,LA10
VIC,N21,"218 Bulleen Road, Bulleen",65,58,LA10
VIC,N22,"2 Golden Way, Bulleen",74,65,LA10
VIC,N23,"3 Ilma Court, Bulleen",62,55,LA10
VIC,N24,"8 Ben Nevis Grove, Bulleen",56,50,LA10
VIC,N25,"10 Vaughan Crescent, Kew",56,51,LA10
VIC,N27,"32 Kilby Road, Kew East",64,58,LA10
VIC,N29,"7 Fairway Drive, Kew East",60,54,LA10
VIC,N30,"1549B Old Burke Road, Kew East",62,55,LA10
VIC,N31,"21 Orion Street, Balwyn North",57,51,LA10
VIC,N32,"52 Columba Street, Balwyn North",56,49,LA10
VIC,N33,"150 Mountain View Road, Balwyn North",60,55,LA10
VIC,N34,"7 Kampman Street, Bulleen",58,53,LA10
VIC,N35,"4 Carron Street, Balwyn North",62,55,LA10
VIC,N36,"33 Estelle Street, Bulleen",64,58,LA10
VIC,N37,"117 Willow Bend, Bulleen",63,56,LA10
VIC,N38,"49 Gardenia Road, Balwyn North",63,57,LA10
VIC,N39,"3/69 Sweyn Street, Balwyn North",58,52,LA10
VIC,N41,"15 Valda Avenue, Mont Albert North",59,53,LA10
VIC,N42,"17 Sargent Street, Doncaster",59,53,LA10
VIC,N43,"9/19 Paul Avenue, Box Hill North",55,50,LA10
VIC,N44,"24 Grange Park Avenue, Doncaster",57,53,LA10
VIC,N45,"48 Eram Road, Box Hill North",55,49,LA10
VIC,N46,"2/46 Gedye Street, Doncaster",60,54,LA10
VIC,N47,"21 Middlefield Drive, Blackburn North",57,52,LA10
VIC,N48,"3/22 Boronia Grove, Doncaster East",62,54,LA10
VIC,N49,"4/52 Bowen Road, Doncaster East",59,52,LA10
VIC,N50,"61 Kett Street, Blackburn North",59,53,LA10
VIC,NS01,"St Mary's Parish Primary, Greensborough",73,63,LA10
VIC,NS02,Watsonia Primary School,59,53,LA10
