lat,lng,expected,why
-37.77074,144.95968,pool<=200m,"Brunswick Baths, public pool since 1914, probe at front door; OSM leisure=sports_centre sport=swimming; prod returns pool distance_m=null"
-37.96337,145.17315,pool<=200m,"Noble Park Aquatic Centre (major municipal facility); missing from Overture; prod pool=null"
-37.72349,145.14164,pool<=200m,"Eltham Leisure Centre aquatic facility; nearest Overture pool POI 99999m"
-38.02051,145.30036,pool<=200m,"Casey ARC (YMCA regional aquatic centre); missing from Overture"
-31.89574,115.75601,pool<=300m,"Scarborough Beach Pool WA (landmark ocean-side pool); nearest Overture pool 2367m"
-34.04496,151.12495,pool<=300m,"Caringbah Leisure Centre NSW; nearest Overture pool 1779m"
-31.89603,115.92002,train<=300m,"Morley station Perth (opened Dec 2024, Ellenbrook line); summary says 'no Train Station within walking distance' at station entrance"
-31.93359,115.94971,train<=300m,"Redcliffe station Perth (Airport line, opened Oct 2022, still missing in Apr-2026 Overture snapshot)"
-31.87453,115.91778,train<=300m,"Noranda station Perth (Dec 2024); absent from Overture"
-31.84941,115.92212,train<=300m,"Ballajura station Perth (Dec 2024); nearest Overture train 2649m"
-31.91513,115.82319,train<=300m,"Glendalough station Perth (opened 1992, established); absent from Overture"
-31.72494,115.75056,train<=300m,"Currambine station Perth (opened 1993); exists in Overture only as category=parking"
-32.91390,151.79030,train_not_closed_station,"Stockton NSW: scorer returns 'Newcastle railway station' 1337m = closed Dec 2014 AND across unbridged Hunter River (19km by road); Civic+Wickham also closed-2014 in data"
-33.73065,151.10295,dog_park<=200m,"Frances O'Brien Dog Park Turramurra (council off-leash); prod dog_park=null"
-27.51886,152.98627,dog_park<=200m,"Graceville Dog Park Brisbane; absent from Overture"
-27.61449,152.86886,dog_park<=200m,"Collingwood Park Dog Park QLD; absent"
-37.99068,145.30687,dog_park<=300m,"Berwick Springs dog off-leash precinct VIC; absent"
-27.44821,152.93117,playground<=200m,"Ferny Grove playground Brisbane (OSM leisure=playground); prod playground=null; Brisbane miss rate 44%"
-33.79354,151.05435,playground<=200m,"Philip Ruddock Water Playground (major destination playground, Yates Ave Dundas Valley); nearest Overture playground 2341m"
-37.79411,145.25312,playground<=200m,"Highland Boulevard Playground, Ringwood North VIC; nearest Overture playground 1851m"
-34.84836,138.70802,playground<=200m,"Beckman Avenue Playground SA; absent"
-42.90092,147.45488,playground<=200m,"Oakdowns Park Playground TAS; absent; Hobart playground miss rate 54%"
-42.86412,147.35853,childcare<=300m,"Rosny Early Learning TAS; nearest Overture childcare 1526m; Hobart childcare miss 35%"
-38.03220,145.34570,childcare_count>=5,"Central Berwick VIC. Overture has 5 childcare records within 1.5 km (2026-09-03 count: Journey Early Learning, Only About Children Berwick, Mansfield Street Kindergarten, Berwick Kindergarten, Timbarra OSHC). The old name-based _FALSE_POSITIVES rule dropped the two named *Berwick* although their address says Berwick/3806; production served count=3. The earlier claim of 6 *Berwick*-named centres was not reproducible in the current parquet."
-27.65638,152.90765,primary_school<=300m,"The Springfield Anglican College Primary Campus QLD: name lacks 'school/primary' so _match_category rejects; 642 elementary_school POIs rejected nationally"
-37.7751344,144.9883867,walking_trail<=100m,"Probe on Merri Creek Trail line itself: Overture transportation/OpenStreetMap ODbL record w981102918@2 nearest point 144.9883867 -37.7751344. Corrects the old -37.77033 144.99319 probe, which production line geometry proves is 682m from Merri Creek Trail and 187m from St Georges Road Trail—not on the claimed trail. The score must use line geometry rather than a representative place point."
-33.86973587,151.14506364,walking_trail<=100m,"Probe on The Bay Run footway line itself: Overture transportation/OpenStreetMap ODbL record w1283597305@2 nearest point 151.14506364 -33.86973587. Corrects the old probe 108m off the line. The former supermarket_barrier=false conjunct was never evaluated by the harness and is withdrawn: the actual straight segment to Lamonica IGA intersects Dobroyd Parade plus M4/Wattle tunnel geometry, so it was not a valid no-crossing truth assertion."
-37.90305,145.07645,supermarket_barrier=false,"Hughesdale VIC: supermarket 649m due north (bearing 3) flagged barrier for Monash Fwy 467m due south (bearing 186); decay zeroed"
-37.74474,144.94299,no_beach_within_1500m,"Pascoe Vale South VIC (inland): scorer shows 'Turners Beach, Tasmania, Australia' 1059m = displaced Wikidata POI; UI displays as nearest Beach/Lake"
-33.86877,151.14501,beach_name_not_coalcliff,"Haberfield NSW: nearest beach = 'Coalcliff Beach' 333m; real Coalcliff Beach is in Illawarra ~45km south; displaced POI"
