lat,lng,expected,why
-37.81495,144.95925,"if shading is claimed in UI, CBD tower canyon must score materially below open-suburb control; observed 2026-06-10: score 45 / PVOUT 1415.1 (1pt from paddock)","Collins St Melbourne tower canyon, permanently overshadowed; building-shading truth test"
-37.71600,144.83300,"score 46 / PVOUT 1420.7 (open flat control for CBD canyon pair)","Keilor flat open suburb, same metro climate"
-37.88690,145.35300,"PVOUT 1297 score 39; label Moderate Solar Potential/Good Solar Potential (must not be Low; viable solar (35% above Germany avg ~950); true canopy/south-slope site loss 20-50% not captured","Sherbrooke VIC south slope under 60m mountain ash"
-37.84200,145.27000,"score 43 / PVOUT 1367.3 (flat control 8km from Sherbrooke; observed gap only 5% = climate raster not shading)","Bayswater VIC flat suburb control"
-42.92100,147.25900,"PVOUT 1302.7; mountain horizon + forest true loss 20-40%, observed only -6.6% vs flat control","Fern Tree TAS under kunanyi east face"
-42.84700,147.43800,"score 44 / PVOUT 1395.3 (flat control for Fern Tree pair)","Cambridge TAS flat open, same latitude"
-42.88210,147.32720,"PVOUT 1357.4; est kWh per kWp should be ~1280 (CEC ~3.5 kWh/kW/day) not 1086 (PVOUTx0.8 double-counts losses); CO2 factor must use TAS ~0.20 not 0.79","Hobart CBD; kWh + CO2 truth anchor"
-37.81360,144.96310,"PVOUT 1415.1; est kWh per kWp ~1314 (CEC 3.6/day) not 1132","Melbourne CBD; kWh truth anchor"
-33.86880,151.20930,"PVOUT 1531.3; est kWh per kWp ~1424 (CEC 3.9/day) not 1225","Sydney CBD; kWh truth anchor"
-27.46980,153.02510,"PVOUT 1600.6; est kWh per kWp ~1533 (CEC 4.2/day) not 1280; label Good Solar Potential/Excellent Solar Potential (Moderate failed resident sanity pre-2026-06 reanchor)","Brisbane CBD; kWh + label anchor"
-12.46340,130.84560,"PVOUT 1707.3 score 62; south-roof factor must be ~0.86 (GSA pvcalc tilt18: south 1408.5 / north 1645.5) not flat 0.65","Darwin CBD; orientation physics anchor (tropics)"
-23.69800,133.88070,"PVOUT 1939.0 score 74 = AU maximum; 'Excellent' (>=80, needs PVOUT>=2040) unreachable anywhere in AU under current formula","Alice Springs; scale-calibration anchor"
-31.95050,115.86050,"PVOUT 1755.0 score 64 'Good'","Perth CBD; climate spread anchor"
-33.74400,150.31100,"PVOUT 1440.8; valley floor under 200m cliffs should lose far more than observed 5.9% if terrain shading were claimed","Jamison Valley floor below Katoomba"
-33.71400,150.31200,"PVOUT 1531.7 (plateau control for Jamison pair)","Katoomba plateau, 3km away"
-42.08060,145.55520,"PVOUT 1099.3 score 28 'Low'; cloudiest AU town = legitimate continental lower bound","Queenstown TAS west coast"
-17.93400,145.92300,"PVOUT 1417.2 score 45; wettest AU town still 'Moderate' band","Tully QLD"
-19.64970,134.19000,"PVOUT 1909.5 score 73 'Good'; among sunniest AU towns","Tennant Creek NT"
-21.17050,119.74400,"PVOUT 1908.0 score 73; hottest/sunniest town caps at 'Good' = scale normalized to Sahara","Marble Bar WA"
-23.35800,119.73200,"PVOUT 1916.7 score 73","Newman WA; sunny-end anchor"
-42.88210,147.32720,"orientation=south at 25deg pitch factor 0.589 (GSA pvcalc 761.4/1293.6); at OPTA 36deg 0.473; model flat 0.65 overstates south-roof yield 10-37% in TAS","Hobart south-roof orientation anchor"
-12.46340,130.84560,"orientation=south factor 0.856; model 0.65 overstates penalty 2.4x in tropics (sun passes south of zenith in summer)","Darwin south-roof orientation anchor"
