lat,lng,expected,why
-35.0040,138.7190,official_bushfire_prone,"Stirling SA: SA Planning & Design Code Hazards (Bushfire-High Risk) Overlay town, Ash Wednesday 1983; engine SA service CurrentPDC_wmas returns 'Service not found' -> zones=[] score 41; prod verified 2026-06-10"
-42.9210,147.2720,official_bushfire_prone,"Fern Tree TAS: verified IN 'Bushfire-prone areas' code overlay via TheList PlanningOnline/MapServer/14 (Hobart LPS, CODE_NO 13); engine queries layer 3 (Kingborough interim) -> zones=[]; real slope ~15deg engine says 0"
-35.3380,149.0250,official_bushfire_prone,"Duffy ACT west edge: verified 1 feature in ACTmapi SBMP_BPA_current/FeatureServer/0 (SBMP BPA 2025); engine has no ACT endpoint -> zones=[]; suburb lost ~200 homes in 2003 firestorm"
-35.3345,149.0330,not_bpa_control,"Duffy ACT centre: verified 0 features in SBMP_BPA_current/0; interior of suburb genuinely outside BPA band"
-31.9986,116.0488,official_bushfire_prone,"Lesmurdie WA bush edge: verified hit WA OBRM-023 layer 8 (designation 'Bush Fire Prone Area', planningarea 'Bushfire Prone Area 2')"
-31.9192,116.1062,official_bushfire_prone,"Glen Forrest WA (Mundaring): verified hit WA OBRM-023 layer 8"
-31.9740,116.0570,not_bpa_control,"Kalamunda WA town centre: verified 0 features WA OBRM-023 layer 8 (commercial strip outside BPA)"
-33.7320,150.3120,bpl_vegetation_buffer,"Katoomba NSW bush edge: NSW ePlanning BPL layer 229 d_Category='Vegetation Buffer' (verified)"
-33.7205,150.3345,bpl_category_1,"Leura NSW escarpment: BPL layer 229 d_Category='Vegetation Category 1' (verified); engine slope=0 elevation=0 because Planning_Portal_Hazard has no layer 0 (layers are 228-232)"
-33.6230,151.1330,bpl_category_1,"Berowra NSW: BPL d_Category='Vegetation Category 1' (verified)"
-34.0160,151.0140,bpl_category_2,"Menai NSW: BPL d_Category='Vegetation Category 2' (verified)"
-34.1780,150.9950,bpl_vegetation_buffer,"Helensburgh NSW: BPL d_Category='Vegetation Buffer' (verified)"
-33.7660,151.1620,not_bpl_fuel_false_positive,"Killara NSW leafy residential: BPL=None (verified) but WorldCover fuel 0.788 'Tree cover' -> final 42 Moderate; urban canopy is not bushfire fuel in official methodology"
-33.7180,151.1180,not_bpl_fuel_false_positive,"Wahroonga NSW leafy residential: BPL=None (verified), fuel 0.722 -> 46 Moderate"
-33.4980,150.5170,recent_fire_2019_missing,"Bilpin NSW: Gospers Mountain fire (2019-20, 512k ha) burned this district per RFS public record; engine NSW fire layer (CrownLands_Bushfire L5) max YEAROFFIRE=2017 statewide -> recent_fires=0, no warning"
-37.7416,145.2269,old_fires_not_recent,"Warrandyte VIC: raw DEECA WFS bushfire seasons within 2km = [1927,1939,1962,1969,1991]; last actual bushfire 1991 yet UI shows 'Fire seasons 5/3' + 'Recent fire history detected'"
-37.5256,145.3390,bmo_and_2009_fire,"Kinglake VIC: BMO hit (verified) + Black Saturday 2009; engine fire seasons 5 incl pre-war; score 15 Very High (correct label, wrong mechanism)"
-27.9180,153.1920,qld_official_bpa_exists,"Tamborine Mountain QLD: QFES 'Bushfire Prone Area (July 2017)' official mapping exists (tiles.arcgis.com PublicSafetyQld_Data); engine queries no QLD overlay at all -> zones=[]; fuel 0.95 tree cover"
-27.4670,153.0460,urban_control,"New Farm QLD inner Brisbane: built-up, score 84 Very Low (reasonable); fire_history null silently for all QLD"
-12.4940,131.0470,nt_no_source,"Howard Springs NT savanna: NT has no overlay or fire-history source in engine; NAFI fire scars (free) show frequent savanna burns in region"
-33.8860,151.2110,not_bpl_control,"Surry Hills NSW inner city: BPL=None (verified), fuel 0.307, score 76 Low"
-33.7510,150.6940,not_bpl_control,"Penrith CBD NSW: BPL=None (verified), fuel 0.112, score 89 Very Low"
-37.8001,144.9674,vic_urban_control,"Carlton VIC: no BMO (verified), fuel 0.132, slope 1.0 (VIC contours work), score 88 Very Low"
-27.97564,153.20378,official_bushfire_prone,"Tamborine Mtn QLD known-positive. Both existing QLD rows evaluate MANUAL, so before this row nothing automated asserted QLD bushfire at all while BUSHFIRE_TRUST[qld]=full would let a vanished duckdb layer return a confident 'outside'. Verified 2026-08-21 against the QFD BPA proxy (count=1, class 'Very High Potential Bushfire Intensity') and production (in_zone, score 15, overlay_basis=local_library)"
