lat,lng,expected,why
-27.4679,153.0480,"median_house ~2950000 (Domain Dec-2025 qtr)","New Farm QLD 4005: Brisbane's most expensive house suburb; DB shows 559000 'Estimated from rent (2025)' (-81%); FAQ JSON-LD says price 'unavailable'"
-27.4598,153.0007,"median_house ~2000000 (Domain/REA 2025)","Paddington QLD 4064: DB shows 659000 rent-derived; published FAQ states '$659,000 (derived from rent, 2025)' as the median answer"
-28.0023,153.4145,"median_house ~2500000+ canal-front houses","Surfers Paradise QLD 4217: DB hero shows 488000 'Estimated from rent (2025)' while own FAQ says house transactions too thin to report"
-27.4316,153.0571,"median_house ~2300000 (Domain 2025)","Ascot QLD 4007: blue-chip racecourse suburb; DB shows 564000 rent-derived"
-26.3980,153.0900,"median_house ~2700000 (Domain 2025)","Noosa Heads QLD 4567: DB shows 656000 rent-derived"
-31.9930,115.7570,"median_house ~3350000-3505000 (REIWA 12mo to Apr-2026)","Cottesloe WA 6011: DB shows 830000 'Estimated from rent (2025)' (-76%)"
-31.9870,115.7990,"median_house ~4000000 (REIWA 2025)","Dalkeith WA 6009: Perth's most expensive suburb; DB shows 1128000 rent-derived"
-31.9480,115.8260,"median_house ~1850000 (REIWA 2025)","Subiaco WA 6008: DB shows 589000 rent-derived"
-31.8950,115.7580,"median_house ~1150000 (REIWA 2025)","Scarborough WA 6019: DB shows 528000 rent-derived"
-35.3180,149.1280,"median_house ~3000000+ (Allhomes 2025)","Forrest ACT 2603: Canberra's most expensive suburb; DB shows 756000 rent-derived"
-35.3160,149.1390,"median_house ~1450000 (Allhomes 2025)","Kingston ACT 2604: DB shows 642000 rent-derived"
-12.4230,130.8290,"median_house ~1050000 (Domain 2025)","Fannie Bay NT 0820: DB shows 469000 rent-derived"
-33.7320,151.0040,"median_house ~2500000-2573000 (Allhomes/Domain 2025, 469 sales)","Castle Hill NSW 2154: DB shows 1140000 '2024-2025 (PSI derived)' = all-dwellings blend incl. new metro unit settlements (-54%)"
-33.8290,151.2390,"median_house ~5500000 (Domain 2025)","Mosman NSW 2088: DB shows 2275000 PSI-derived blend (52% apartments pollute the 'house' median)"
-33.8910,151.2780,"median_house ~4000000+ (Domain 2025)","Bondi Beach NSW 2026: DB shows 1800000 PSI-derived; 86% apartment sales dominate the blend labeled 'Median House'"
-33.7510,150.6940,"median_house ~950000 (Domain 2025)","Penrith NSW 2750: DB shows 630000 PSI-derived blend"
-42.0810,145.5550,"median_house ~180000-205000 (Domain Dec-2025/PropertyValue)","Queenstown TAS 7467: DB shows 83500 with price_quarter 'YTD 2008' = 18-year-old price on a published page"
-30.9750,146.8600,"median should be suppressed below sale-count threshold","Rangari NSW 2380 (pop 42): live page shows Median House $3.9M from 'Jan-May 2026 (PSI)' = ~1 farm sale, no n guard"
-33.9040,151.2630,"Bronte Public School exists (ICSEA 1176) in suburb","Bronte NSW 2024: published FAQ + JSON-LD claim 'no schools located within the Bronte boundary' while page's own Schools section lists Bronte Public School"
-32.7810,152.0850,"Anna Bay Public School exists (ICSEA 962)","Anna Bay NSW 2316: insights claim no schools; school present in tiles/data/au_school_ratings.ndjson"
-33.9180,150.8000,"Austral Public School exists (ICSEA 1032)","Austral NSW 2179 (major growth area): insights claim no schools"
-33.7620,151.2740,"Brookvale Public School + St Augustine's College exist","Brookvale NSW 2100: insights claim no schools"
-42.6940,147.2470,"Brighton Primary School + Brighton High School exist","Brighton TAS 7030: insights claim no schools; 271 of 512 'no schools' pages are false vs own ACARA file"
-37.7670,144.9600,"median_house ~1292500 only as of Apr-Jun 2024 (VG)","Brunswick VIC 3056: price vintage Apr-Jun 2024 = 8 quarters stale under a hub that promises 'Updated quarterly'"
